City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,manaure,11.7751,-72.4445,303.01,70,99,4.55,CO,1717982518
139,brad,46.1333,22.7833,289.34,96,8,2.07,RO,1717982518
140,crane,31.3974,-102.3501,306.9,34,13,9.53,US,1717982519
141,north platte,41.1239,-100.7654,297.1,53,0,5.14,US,1717982520
142,mukalla,14.5425,49.1242,302.49,75,6,1.73,YE,1717982520
143,santa fe,-31.6333,-60.7,292.04,84,100,1.79,AR,1717982521
144,jequitinhonha,-16.4339,-41.0033,289.7,95,1,1.0,BR,1717982521
145,villa gesell,-37.2639,-56.973,286.51,84,100,9.12,AR,1717982239
146,sarupathar,26.1984,93.8094,300.7,83,66,1.24,IN,1717982522
147,ust'-ilimsk,58.0006,102.6619,286.17,93,100,1.34,RU,1717982523
148,yei,4.095,30.6779,291.63,96,48,1.76,SS,1717982523
149,nguigmi,14.2495,13.1092,303.73,14,53,2.49,NE,1717982524
150,remire-montjoly,4.9167,-52.2667,299.17,94,100,1.54,GF,1717982524
151,hithadhoo,-0.6,73.0833,301.29,75,51,2.28,MV,1717982470
152,hermanus,-34.4187,19.2345,285.82,78,5,4.55,ZA,1717982525
153,stanley,54.868,-1.6985,281.64,92,20,2.57,GB,1717982526
154,anadyr,64.75,177.4833,284.43,54,0,7.0,RU,1717982526
155,khandyga,62.6667,135.6,292.66,35,68,1.81,RU,1717982527
156,popondetta,-8.7537,148.2534,301.38,86,88,1.64,PG,1717982528
157,yuzhno-kurilsk,44.0306,145.8556,284.47,93,100,5.26,RU,1717982528
158,baruun-urt,46.6806,113.2792,297.81,24,100,2.9,MN,1717982529
159,mogadishu,2.0371,45.3438,299.15,82,60,9.03,SO,1717982529
160,al abyar,32.19,20.5965,295.11,32,0,2.84,LY,1717982530
161,kourou,5.1552,-52.6478,299.18,89,61,1.78,GF,1717982530
162,bambanglipuro,-7.95,110.2833,300.09,79,3,2.16,ID,1717982531
163,isangel,-19.55,169.2667,300.73,63,98,0.9,VU,1717982531
164,mount pearl,47.5166,-52.7813,283.68,93,100,10.29,CA,1717982532
